state,district,stage,type,date,schools
Johor,Kota Tinggi,tertiary,IPTA,2021-01-01,0
Johor,Kota Tinggi,tertiary,IPTA,2022-01-01,0
Johor,Kulai,primary,Sekolah Rendah Kerajaan,2017-01-01,54
Johor,Kulai,primary,Sekolah Rendah Kerajaan,2018-01-01,37
Johor,Kulai,primary,Sekolah Rendah Kerajaan,2019-01-01,37
Johor,Kulai,primary,Sekolah Rendah Kerajaan,2020-01-01,36
Johor,Kulai,primary,Sekolah Rendah Kerajaan,2021-01-01,36
Johor,Kulai,primary,Sekolah Rendah Kerajaan,2022-01-01,37
Johor,Kulai,secondary,Sekolah Menengah Kerajaan,2017-01-01,19
Johor,Kulai,secondary,Sekolah Menengah Kerajaan,2018-01-01,12
Johor,Kulai,secondary,Sekolah Menengah Kerajaan,2019-01-01,12
Johor,Kulai,secondary,Sekolah Menengah Kerajaan,2020-01-01,12
Johor,Kulai,secondary,Sekolah Menengah Kerajaan,2021-01-01,12
Johor,Kulai,secondary,Sekolah Menengah Kerajaan,2022-01-01,13
Johor,Kulai,tertiary,IPTA,2017-01-01,0
Johor,Kulai,tertiary,IPTA,2018-01-01,0
Johor,Kulai,tertiary,IPTA,2019-01-01,0
Johor,Kulai,tertiary,IPTA,2020-01-01,0
Johor,Kulai,tertiary,IPTA,2021-01-01,0
Johor,Kulai,tertiary,IPTA,2022-01-01,0
Johor,Mersing,primary,Sekolah Rendah Kerajaan,2017-01-01,37
Johor,Mersing,primary,Sekolah Rendah Kerajaan,2018-01-01,38
Johor,Mersing,primary,Sekolah Rendah Kerajaan,2019-01-01,38
Johor,Mersing,primary,Sekolah Rendah Kerajaan,2020-01-01,38
Johor,Mersing,primary,Sekolah Rendah Kerajaan,2021-01-01,38
Johor,Mersing,primary,Sekolah Rendah Kerajaan,2022-01-01,38
Johor,Mersing,secondary,Sekolah Menengah Kerajaan,2017-01-01,10
Johor,Mersing,secondary,Sekolah Menengah Kerajaan,2018-01-01,10
Johor,Mersing,secondary,Sekolah Menengah Kerajaan,2019-01-01,10
Johor,Mersing,secondary,Sekolah Menengah Kerajaan,2020-01-01,10
Johor,Mersing,secondary,Sekolah Menengah Kerajaan,2021-01-01,10
Johor,Mersing,secondary,Sekolah Menengah Kerajaan,2022-01-01,10
Johor,Mersing,tertiary,IPTA,2017-01-01,0
Johor,Mersing,tertiary,IPTA,2018-01-01,0
Johor,Mersing,tertiary,IPTA,2019-01-01,0
Johor,Mersing,tertiary,IPTA,2020-01-01,0
Johor,Mersing,tertiary,IPTA,2021-01-01,0
Johor,Mersing,tertiary,IPTA,2022-01-01,0
Johor,Muar,primary,Sekolah Rendah Kerajaan,2017-01-01,104
Johor,Muar,primary,Sekolah Rendah Kerajaan,2018-01-01,104
Johor,Muar,primary,Sekolah Rendah Kerajaan,2019-01-01,104
Johor,Muar,primary,Sekolah Rendah Kerajaan,2020-01-01,104
Johor,Muar,primary,Sekolah Rendah Kerajaan,2021-01-01,104
Johor,Muar,primary,Sekolah Rendah Kerajaan,2022-01-01,103
Johor,Muar,secondary,Sekolah Menengah Kerajaan,2017-01-01,24
Johor,Muar,secondary,Sekolah Menengah Kerajaan,2018-01-01,25
Johor,Muar,secondary,Sekolah Menengah Kerajaan,2019-01-01,25
Johor,Muar,secondary,Sekolah Menengah Kerajaan,2020-01-01,26
Johor,Muar,secondary,Sekolah Menengah Kerajaan,2021-01-01,27
Johor,Muar,secondary,Sekolah Menengah Kerajaan,2022-01-01,27
Johor,Muar,tertiary,IPTA,2017-01-01,0
Johor,Muar,tertiary,IPTA,2018-01-01,0
Johor,Muar,tertiary,IPTA,2019-01-01,0
Johor,Muar,tertiary,IPTA,2020-01-01,0
Johor,Muar,tertiary,IPTA,2021-01-01,0
Johor,Muar,tertiary,IPTA,2022-01-01,0
Johor,Pontian,primary,Sekolah Rendah Kerajaan,2017-01-01,82
Johor,Pontian,primary,Sekolah Rendah Kerajaan,2018-01-01,82
Johor,Pontian,primary,Sekolah Rendah Kerajaan,2019-01-01,82
Johor,Pontian,primary,Sekolah Rendah Kerajaan,2020-01-01,82
Johor,Pontian,primary,Sekolah Rendah Kerajaan,2021-01-01,82
Johor,Pontian,primary,Sekolah Rendah Kerajaan,2022-01-01,82
Johor,Pontian,secondary,Sekolah Menengah Kerajaan,2017-01-01,17
Johor,Pontian,secondary,Sekolah Menengah Kerajaan,2018-01-01,18
Johor,Pontian,secondary,Sekolah Menengah Kerajaan,2019-01-01,18
Johor,Pontian,secondary,Sekolah Menengah Kerajaan,2020-01-01,18
Johor,Pontian,secondary,Sekolah Menengah Kerajaan,2021-01-01,18
Johor,Pontian,secondary,Sekolah Menengah Kerajaan,2022-01-01,18
Johor,Pontian,tertiary,IPTA,2017-01-01,0
Johor,Pontian,tertiary,IPTA,2018-01-01,0
Johor,Pontian,tertiary,IPTA,2019-01-01,0
Johor,Pontian,tertiary,IPTA,2020-01-01,0
Johor,Pontian,tertiary,IPTA,2021-01-01,0
Johor,Pontian,tertiary,IPTA,2022-01-01,0
Johor,Segamat,primary,Sekolah Rendah Kerajaan,2017-01-01,85
Johor,Segamat,primary,Sekolah Rendah Kerajaan,2018-01-01,85
Johor,Segamat,primary,Sekolah Rendah Kerajaan,2019-01-01,85
Johor,Segamat,primary,Sekolah Rendah Kerajaan,2020-01-01,85
Johor,Segamat,primary,Sekolah Rendah Kerajaan,2021-01-01,85
Johor,Segamat,primary,Sekolah Rendah Kerajaan,2022-01-01,85
Johor,Segamat,secondary,Sekolah Menengah Kerajaan,2017-01-01,25
Johor,Segamat,secondary,Sekolah Menengah Kerajaan,2018-01-01,25
Johor,Segamat,secondary,Sekolah Menengah Kerajaan,2019-01-01,25
Johor,Segamat,secondary,Sekolah Menengah Kerajaan,2020-01-01,25
Johor,Segamat,secondary,Sekolah Menengah Kerajaan,2021-01-01,25
Johor,Segamat,secondary,Sekolah Menengah Kerajaan,2022-01-01,25
Johor,Segamat,tertiary,IPTA,2017-01-01,0
Johor,Segamat,tertiary,IPTA,2018-01-01,0
Johor,Segamat,tertiary,IPTA,2019-01-01,0
Johor,Segamat,tertiary,IPTA,2020-01-01,0
Johor,Segamat,tertiary,IPTA,2021-01-01,0
Johor,Segamat,tertiary,IPTA,2022-01-01,0
Johor,Tangkak,primary,Sekolah Rendah Kerajaan,2017-01-01,67
Johor,Tangkak,primary,Sekolah Rendah Kerajaan,2018-01-01,66
Johor,Tangkak,primary,Sekolah Rendah Kerajaan,2019-01-01,66
Johor,Tangkak,primary,Sekolah Rendah Kerajaan,2020-01-01,65
Johor,Tangkak,primary,Sekolah Rendah Kerajaan,2021-01-01,65
Johor,Tangkak,primary,Sekolah Rendah Kerajaan,2022-01-01,65
Johor,Tangkak,secondary,Sekolah Menengah Kerajaan,2017-01-01,16
Johor,Tangkak,secondary,Sekolah Menengah Kerajaan,2018-01-01,16
Johor,Tangkak,secondary,Sekolah Menengah Kerajaan,2019-01-01,16
Johor,Tangkak,secondary,Sekolah Menengah Kerajaan,2020-01-01,16
Johor,Tangkak,secondary,Sekolah Menengah Kerajaan,2021-01-01,16
Johor,Tangkak,secondary,Sekolah Menengah Kerajaan,2022-01-01,16
Johor,Tangkak,tertiary,IPTA,2017-01-01,0
Johor,Tangkak,tertiary,IPTA,2018-01-01,0
Johor,Tangkak,tertiary,IPTA,2019-01-01,0
Johor,Tangkak,tertiary,IPTA,2020-01-01,0
Johor,Tangkak,tertiary,IPTA,2021-01-01,0
Johor,Tangkak,tertiary,IPTA,2022-01-01,0
Kedah,Baling,primary,Sekolah Rendah Kerajaan,2017-01-01,85
Kedah,Baling,primary,Sekolah Rendah Kerajaan,2018-01-01,62
Kedah,Baling,primary,Sekolah Rendah Kerajaan,2019-01-01,62
Kedah,Baling,primary,Sekolah Rendah Kerajaan,2020-01-01,62
Kedah,Baling,primary,Sekolah Rendah Kerajaan,2021-01-01,62
Kedah,Baling,primary,Sekolah Rendah Kerajaan,2022-01-01,62
Kedah,Baling,secondary,Sekolah Menengah Kerajaan,2017-01-01,25
Kedah,Baling,secondary,Sekolah Menengah Kerajaan,2018-01-01,16
Kedah,Baling,secondary,Sekolah Menengah Kerajaan,2019-01-01,16
Kedah,Baling,secondary,Sekolah Menengah Kerajaan,2020-01-01,16
Kedah,Baling,secondary,Sekolah Menengah Kerajaan,2021-01-01,16
Kedah,Baling,secondary,Sekolah Menengah Kerajaan,2022-01-01,16
Kedah,Baling,tertiary,IPTA,2017-01-01,0
Kedah,Baling,tertiary,IPTA,2018-01-01,0
Kedah,Baling,tertiary,IPTA,2019-01-01,0
Kedah,Baling,tertiary,IPTA,2020-01-01,0
Kedah,Baling,tertiary,IPTA,2021-01-01,0
Kedah,Baling,tertiary,IPTA,2022-01-01,0
Kedah,Bandar Baharu,primary,Sekolah Rendah Kerajaan,2017-01-01,87
Kedah,Bandar Baharu,primary,Sekolah Rendah Kerajaan,2018-01-01,23
Kedah,Bandar Baharu,primary,Sekolah Rendah Kerajaan,2019-01-01,23
Kedah,Bandar Baharu,primary,Sekolah Rendah Kerajaan,2020-01-01,23
Kedah,Bandar Baharu,primary,Sekolah Rendah Kerajaan,2021-01-01,23
Kedah,Bandar Baharu,primary,Sekolah Rendah Kerajaan,2022-01-01,23
Kedah,Bandar Baharu,secondary,Sekolah Menengah Kerajaan,2017-01-01,32
Kedah,Bandar Baharu,secondary,Sekolah Menengah Kerajaan,2018-01-01,6
Kedah,Bandar Baharu,secondary,Sekolah Menengah Kerajaan,2019-01-01,6
Kedah,Bandar Baharu,secondary,Sekolah Menengah Kerajaan,2020-01-01,6
Kedah,Bandar Baharu,secondary,Sekolah Menengah Kerajaan,2021-01-01,6
Kedah,Bandar Baharu,secondary,Sekolah Menengah Kerajaan,2022-01-01,6
Kedah,Bandar Baharu,tertiary,IPTA,2017-01-01,0
Kedah,Bandar Baharu,tertiary,IPTA,2018-01-01,0
Kedah,Bandar Baharu,tertiary,IPTA,2019-01-01,0
Kedah,Bandar Baharu,tertiary,IPTA,2020-01-01,0
Kedah,Bandar Baharu,tertiary,IPTA,2021-01-01,0
Kedah,Bandar Baharu,tertiary,IPTA,2022-01-01,0
Kedah,Kota Setar,primary,Sekolah Rendah Kerajaan,2017-01-01,104
Kedah,Kota Setar,primary,Sekolah Rendah Kerajaan,2018-01-01,88
Kedah,Kota Setar,primary,Sekolah Rendah Kerajaan,2019-01-01,88
Kedah,Kota Setar,primary,Sekolah Rendah Kerajaan,2020-01-01,88
Kedah,Kota Setar,primary,Sekolah Rendah Kerajaan,2021-01-01,88
Kedah,Kota Setar,primary,Sekolah Rendah Kerajaan,2022-01-01,88
Kedah,Kota Setar,secondary,Sekolah Menengah Kerajaan,2017-01-01,42
Kedah,Kota Setar,secondary,Sekolah Menengah Kerajaan,2018-01-01,37
Kedah,Kota Setar,secondary,Sekolah Menengah Kerajaan,2019-01-01,37
Kedah,Kota Setar,secondary,Sekolah Menengah Kerajaan,2020-01-01,37
Kedah,Kota Setar,secondary,Sekolah Menengah Kerajaan,2021-01-01,37
Kedah,Kota Setar,secondary,Sekolah Menengah Kerajaan,2022-01-01,37
Kedah,Kota Setar,tertiary,IPTA,2017-01-01,0
Kedah,Kota Setar,tertiary,IPTA,2018-01-01,0
Kedah,Kota Setar,tertiary,IPTA,2019-01-01,0
Kedah,Kota Setar,tertiary,IPTA,2020-01-01,0
Kedah,Kota Setar,tertiary,IPTA,2021-01-01,0
Kedah,Kota Setar,tertiary,IPTA,2022-01-01,0
Kedah,Kuala Muda,primary,Sekolah Rendah Kerajaan,2017-01-01,133
Kedah,Kuala Muda,primary,Sekolah Rendah Kerajaan,2018-01-01,105
Kedah,Kuala Muda,primary,Sekolah Rendah Kerajaan,2019-01-01,105
Kedah,Kuala Muda,primary,Sekolah Rendah Kerajaan,2020-01-01,106
Kedah,Kuala Muda,primary,Sekolah Rendah Kerajaan,2021-01-01,106
Kedah,Kuala Muda,primary,Sekolah Rendah Kerajaan,2022-01-01,106
Kedah,Kuala Muda,secondary,Sekolah Menengah Kerajaan,2017-01-01,48
Kedah,Kuala Muda,secondary,Sekolah Menengah Kerajaan,2018-01-01,38
Kedah,Kuala Muda,secondary,Sekolah Menengah Kerajaan,2019-01-01,38
Kedah,Kuala Muda,secondary,Sekolah Menengah Kerajaan,2020-01-01,38
Kedah,Kuala Muda,secondary,Sekolah Menengah Kerajaan,2021-01-01,38
Kedah,Kuala Muda,secondary,Sekolah Menengah Kerajaan,2022-01-01,37
Kedah,Kuala Muda,tertiary,IPTA,2017-01-01,0
Kedah,Kuala Muda,tertiary,IPTA,2018-01-01,0
Kedah,Kuala Muda,tertiary,IPTA,2019-01-01,0
Kedah,Kuala Muda,tertiary,IPTA,2020-01-01,0
Kedah,Kuala Muda,tertiary,IPTA,2021-01-01,0
Kedah,Kuala Muda,tertiary,IPTA,2022-01-01,0
Kedah,Kubang Pasu,primary,Sekolah Rendah Kerajaan,2017-01-01,58
Kedah,Kubang Pasu,primary,Sekolah Rendah Kerajaan,2018-01-01,58
Kedah,Kubang Pasu,primary,Sekolah Rendah Kerajaan,2019-01-01,58
Kedah,Kubang Pasu,primary,Sekolah Rendah Kerajaan,2020-01-01,58
Kedah,Kubang Pasu,primary,Sekolah Rendah Kerajaan,2021-01-01,58
Kedah,Kubang Pasu,primary,Sekolah Rendah Kerajaan,2022-01-01,58
Kedah,Kubang Pasu,secondary,Sekolah Menengah Kerajaan,2017-01-01,24
Kedah,Kubang Pasu,secondary,Sekolah Menengah Kerajaan,2018-01-01,24
Kedah,Kubang Pasu,secondary,Sekolah Menengah Kerajaan,2019-01-01,25
Kedah,Kubang Pasu,secondary,Sekolah Menengah Kerajaan,2020-01-01,25
Kedah,Kubang Pasu,secondary,Sekolah Menengah Kerajaan,2021-01-01,25
Kedah,Kubang Pasu,secondary,Sekolah Menengah Kerajaan,2022-01-01,25
Kedah,Kubang Pasu,tertiary,IPTA,2017-01-01,1
Kedah,Kubang Pasu,tertiary,IPTA,2018-01-01,1
Kedah,Kubang Pasu,tertiary,IPTA,2019-01-01,1
Kedah,Kubang Pasu,tertiary,IPTA,2020-01-01,1
Kedah,Kubang Pasu,tertiary,IPTA,2021-01-01,1
Kedah,Kubang Pasu,tertiary,IPTA,2022-01-01,1
Kedah,Kulim,primary,Sekolah Rendah Kerajaan,2018-01-01,64
Kedah,Kulim,primary,Sekolah Rendah Kerajaan,2019-01-01,64
Kedah,Kulim,primary,Sekolah Rendah Kerajaan,2020-01-01,64
Kedah,Kulim,primary,Sekolah Rendah Kerajaan,2021-01-01,64
Kedah,Kulim,primary,Sekolah Rendah Kerajaan,2022-01-01,64
Kedah,Kulim,secondary,Sekolah Menengah Kerajaan,2018-01-01,26
Kedah,Kulim,secondary,Sekolah Menengah Kerajaan,2019-01-01,26
Kedah,Kulim,secondary,Sekolah Menengah Kerajaan,2020-01-01,26
Kedah,Kulim,secondary,Sekolah Menengah Kerajaan,2021-01-01,26
Kedah,Kulim,secondary,Sekolah Menengah Kerajaan,2022-01-01,26
Kedah,Kulim,tertiary,IPTA,2017-01-01,0
Kedah,Kulim,tertiary,IPTA,2018-01-01,0
Kedah,Kulim,tertiary,IPTA,2019-01-01,0
Kedah,Kulim,tertiary,IPTA,2020-01-01,0
Kedah,Kulim,tertiary,IPTA,2021-01-01,0
Kedah,Kulim,tertiary,IPTA,2022-01-01,0
Kedah,Langkawi,primary,Sekolah Rendah Kerajaan,2017-01-01,21
Kedah,Langkawi,primary,Sekolah Rendah Kerajaan,2018-01-01,21
Kedah,Langkawi,primary,Sekolah Rendah Kerajaan,2019-01-01,21
Kedah,Langkawi,primary,Sekolah Rendah Kerajaan,2020-01-01,21
Kedah,Langkawi,primary,Sekolah Rendah Kerajaan,2021-01-01,21
Kedah,Langkawi,primary,Sekolah Rendah Kerajaan,2022-01-01,21
Kedah,Langkawi,secondary,Sekolah Menengah Kerajaan,2017-01-01,8
Kedah,Langkawi,secondary,Sekolah Menengah Kerajaan,2018-01-01,8
Kedah,Langkawi,secondary,Sekolah Menengah Kerajaan,2019-01-01,8
Kedah,Langkawi,secondary,Sekolah Menengah Kerajaan,2020-01-01,8
Kedah,Langkawi,secondary,Sekolah Menengah Kerajaan,2021-01-01,8
Kedah,Langkawi,secondary,Sekolah Menengah Kerajaan,2022-01-01,8
Kedah,Langkawi,tertiary,IPTA,2017-01-01,0
Kedah,Langkawi,tertiary,IPTA,2018-01-01,0
Kedah,Langkawi,tertiary,IPTA,2019-01-01,0
Kedah,Langkawi,tertiary,IPTA,2020-01-01,0
Kedah,Langkawi,tertiary,IPTA,2021-01-01,0
Kedah,Langkawi,tertiary,IPTA,2022-01-01,0
Kedah,Padang Terap,primary,Sekolah Rendah Kerajaan,2017-01-01,21
Kedah,Padang Terap,primary,Sekolah Rendah Kerajaan,2018-01-01,21
Kedah,Padang Terap,primary,Sekolah Rendah Kerajaan,2019-01-01,21
Kedah,Padang Terap,primary,Sekolah Rendah Kerajaan,2020-01-01,21
Kedah,Padang Terap,primary,Sekolah Rendah Kerajaan,2021-01-01,21
Kedah,Padang Terap,primary,Sekolah Rendah Kerajaan,2022-01-01,21
Kedah,Padang Terap,secondary,Sekolah Menengah Kerajaan,2017-01-01,9
Kedah,Padang Terap,secondary,Sekolah Menengah Kerajaan,2018-01-01,9
Kedah,Padang Terap,secondary,Sekolah Menengah Kerajaan,2019-01-01,9
Kedah,Padang Terap,secondary,Sekolah Menengah Kerajaan,2020-01-01,9
Kedah,Padang Terap,secondary,Sekolah Menengah Kerajaan,2021-01-01,9
Kedah,Padang Terap,secondary,Sekolah Menengah Kerajaan,2022-01-01,9
Kedah,Padang Terap,tertiary,IPTA,2017-01-01,0
Kedah,Padang Terap,tertiary,IPTA,2018-01-01,0
Kedah,Padang Terap,tertiary,IPTA,2019-01-01,0
Kedah,Padang Terap,tertiary,IPTA,2020-01-01,0
Kedah,Padang Terap,tertiary,IPTA,2021-01-01,0
Kedah,Padang Terap,tertiary,IPTA,2022-01-01,0
Kedah,Pendang,primary,Sekolah Rendah Kerajaan,2017-01-01,37
Kedah,Pendang,primary,Sekolah Rendah Kerajaan,2018-01-01,38
Kedah,Pendang,primary,Sekolah Rendah Kerajaan,2019-01-01,38
Kedah,Pendang,primary,Sekolah Rendah Kerajaan,2020-01-01,38
Kedah,Pendang,primary,Sekolah Rendah Kerajaan,2021-01-01,38
Kedah,Pendang,primary,Sekolah Rendah Kerajaan,2022-01-01,38
Kedah,Pendang,secondary,Sekolah Menengah Kerajaan,2017-01-01,13
Kedah,Pendang,secondary,Sekolah Menengah Kerajaan,2018-01-01,13
Kedah,Pendang,secondary,Sekolah Menengah Kerajaan,2019-01-01,13
Kedah,Pendang,secondary,Sekolah Menengah Kerajaan,2020-01-01,13
Kedah,Pendang,secondary,Sekolah Menengah Kerajaan,2021-01-01,14
Kedah,Pendang,secondary,Sekolah Menengah Kerajaan,2022-01-01,14
Kedah,Pendang,tertiary,IPTA,2017-01-01,0
Kedah,Pendang,tertiary,IPTA,2018-01-01,0
Kedah,Pendang,tertiary,IPTA,2019-01-01,0
Kedah,Pendang,tertiary,IPTA,2020-01-01,0
Kedah,Pendang,tertiary,IPTA,2021-01-01,0
Kedah,Pendang,tertiary,IPTA,2022-01-01,0
Kedah,Pokok Sena,primary,Sekolah Rendah Kerajaan,2018-01-01,16
Kedah,Pokok Sena,primary,Sekolah Rendah Kerajaan,2019-01-01,16
Kedah,Pokok Sena,primary,Sekolah Rendah Kerajaan,2020-01-01,16
Kedah,Pokok Sena,primary,Sekolah Rendah Kerajaan,2021-01-01,16
Kedah,Pokok Sena,primary,Sekolah Rendah Kerajaan,2022-01-01,16
Kedah,Pokok Sena,secondary,Sekolah Menengah Kerajaan,2018-01-01,5
Kedah,Pokok Sena,secondary,Sekolah Menengah Kerajaan,2019-01-01,5
Kedah,Pokok Sena,secondary,Sekolah Menengah Kerajaan,2020-01-01,5
Kedah,Pokok Sena,secondary,Sekolah Menengah Kerajaan,2021-01-01,5
Kedah,Pokok Sena,secondary,Sekolah Menengah Kerajaan,2022-01-01,5
Kedah,Pokok Sena,tertiary,IPTA,2017-01-01,0
Kedah,Pokok Sena,tertiary,IPTA,2018-01-01,0
Kedah,Pokok Sena,tertiary,IPTA,2019-01-01,0
Kedah,Pokok Sena,tertiary,IPTA,2020-01-01,0
Kedah,Pokok Sena,tertiary,IPTA,2021-01-01,0
Kedah,Pokok Sena,tertiary,IPTA,2022-01-01,0
Kedah,Sik,primary,Sekolah Rendah Kerajaan,2018-01-01,23
Kedah,Sik,primary,Sekolah Rendah Kerajaan,2019-01-01,23
Kedah,Sik,primary,Sekolah Rendah Kerajaan,2020-01-01,23
Kedah,Sik,primary,Sekolah Rendah Kerajaan,2021-01-01,23
Kedah,Sik,primary,Sekolah Rendah Kerajaan,2022-01-01,23
Kedah,Sik,secondary,Sekolah Menengah Kerajaan,2018-01-01,9
Kedah,Sik,secondary,Sekolah Menengah Kerajaan,2019-01-01,9
Kedah,Sik,secondary,Sekolah Menengah Kerajaan,2020-01-01,9
Kedah,Sik,secondary,Sekolah Menengah Kerajaan,2021-01-01,9
Kedah,Sik,secondary,Sekolah Menengah Kerajaan,2022-01-01,10
Kedah,Sik,tertiary,IPTA,2017-01-01,0
Kedah,Sik,tertiary,IPTA,2018-01-01,0
Kedah,Sik,tertiary,IPTA,2019-01-01,0
Kedah,Sik,tertiary,IPTA,2020-01-01,0
Kedah,Sik,tertiary,IPTA,2021-01-01,0
Kedah,Sik,tertiary,IPTA,2022-01-01,0
Kedah,Yan,primary,Sekolah Rendah Kerajaan,2018-01-01,28
Kedah,Yan,primary,Sekolah Rendah Kerajaan,2019-01-01,28
Kedah,Yan,primary,Sekolah Rendah Kerajaan,2020-01-01,28
Kedah,Yan,primary,Sekolah Rendah Kerajaan,2021-01-01,28
Kedah,Yan,primary,Sekolah Rendah Kerajaan,2022-01-01,28
Kedah,Yan,secondary,Sekolah Menengah Kerajaan,2018-01-01,10
Kedah,Yan,secondary,Sekolah Menengah Kerajaan,2019-01-01,10
Kedah,Yan,secondary,Sekolah Menengah Kerajaan,2020-01-01,10
Kedah,Yan,secondary,Sekolah Menengah Kerajaan,2021-01-01,10
Kedah,Yan,secondary,Sekolah Menengah Kerajaan,2022-01-01,11
Kedah,Yan,tertiary,IPTA,2017-01-01,0
Kedah,Yan,tertiary,IPTA,2018-01-01,0
Kedah,Yan,tertiary,IPTA,2019-01-01,0
Kedah,Yan,tertiary,IPTA,2020-01-01,0
Kedah,Yan,tertiary,IPTA,2021-01-01,0
Kedah,Yan,tertiary,IPTA,2022-01-01,0
Kelantan,Bachok,primary,Sekolah Rendah Kerajaan,2017-01-01,34
Kelantan,Bachok,primary,Sekolah Rendah Kerajaan,2018-01-01,34
Kelantan,Bachok,primary,Sekolah Rendah Kerajaan,2019-01-01,34
Kelantan,Bachok,primary,Sekolah Rendah Kerajaan,2020-01-01,34
Kelantan,Bachok,primary,Sekolah Rendah Kerajaan,2021-01-01,34
Kelantan,Bachok,primary,Sekolah Rendah Kerajaan,2022-01-01,34
Kelantan,Bachok,secondary,Sekolah Menengah Kerajaan,2017-01-01,18
Kelantan,Bachok,secondary,Sekolah Menengah Kerajaan,2018-01-01,19
Kelantan,Bachok,secondary,Sekolah Menengah Kerajaan,2019-01-01,19
Kelantan,Bachok,secondary,Sekolah Menengah Kerajaan,2020-01-01,19
Kelantan,Bachok,secondary,Sekolah Menengah Kerajaan,2021-01-01,19
Kelantan,Bachok,secondary,Sekolah Menengah Kerajaan,2022-01-01,19
Kelantan,Bachok,tertiary,IPTA,2017-01-01,0
Kelantan,Bachok,tertiary,IPTA,2018-01-01,0
Kelantan,Bachok,tertiary,IPTA,2019-01-01,0
Kelantan,Bachok,tertiary,IPTA,2020-01-01,0
Kelantan,Bachok,tertiary,IPTA,2021-01-01,0
Kelantan,Bachok,tertiary,IPTA,2022-01-01,0
Kelantan,Gua Musang,primary,Sekolah Rendah Kerajaan,2017-01-01,39
Kelantan,Gua Musang,primary,Sekolah Rendah Kerajaan,2018-01-01,34
Kelantan,Gua Musang,primary,Sekolah Rendah Kerajaan,2019-01-01,34
Kelantan,Gua Musang,primary,Sekolah Rendah Kerajaan,2020-01-01,34
Kelantan,Gua Musang,primary,Sekolah Rendah Kerajaan,2021-01-01,34
Kelantan,Gua Musang,primary,Sekolah Rendah Kerajaan,2022-01-01,34
Kelantan,Gua Musang,secondary,Sekolah Menengah Kerajaan,2017-01-01,9
Kelantan,Gua Musang,secondary,Sekolah Menengah Kerajaan,2018-01-01,9
Kelantan,Gua Musang,secondary,Sekolah Menengah Kerajaan,2019-01-01,9
Kelantan,Gua Musang,secondary,Sekolah Menengah Kerajaan,2020-01-01,9
Kelantan,Gua Musang,secondary,Sekolah Menengah Kerajaan,2021-01-01,10
Kelantan,Gua Musang,secondary,Sekolah Menengah Kerajaan,2022-01-01,10
Kelantan,Gua Musang,tertiary,IPTA,2017-01-01,0
Kelantan,Gua Musang,tertiary,IPTA,2018-01-01,0
Kelantan,Gua Musang,tertiary,IPTA,2019-01-01,0
Kelantan,Gua Musang,tertiary,IPTA,2020-01-01,0
Kelantan,Gua Musang,tertiary,IPTA,2021-01-01,0
Kelantan,Gua Musang,tertiary,IPTA,2022-01-01,0
Kelantan,Jeli,primary,Sekolah Rendah Kerajaan,2017-01-01,15
Kelantan,Jeli,primary,Sekolah Rendah Kerajaan,2018-01-01,15
Kelantan,Jeli,primary,Sekolah Rendah Kerajaan,2019-01-01,15
Kelantan,Jeli,primary,Sekolah Rendah Kerajaan,2020-01-01,15
Kelantan,Jeli,primary,Sekolah Rendah Kerajaan,2021-01-01,15
Kelantan,Jeli,primary,Sekolah Rendah Kerajaan,2022-01-01,15
Kelantan,Jeli,secondary,Sekolah Menengah Kerajaan,2017-01-01,6
Kelantan,Jeli,secondary,Sekolah Menengah Kerajaan,2018-01-01,6
Kelantan,Jeli,secondary,Sekolah Menengah Kerajaan,2019-01-01,6
Kelantan,Jeli,secondary,Sekolah Menengah Kerajaan,2020-01-01,6
Kelantan,Jeli,secondary,Sekolah Menengah Kerajaan,2021-01-01,6
Kelantan,Jeli,secondary,Sekolah Menengah Kerajaan,2022-01-01,6
Kelantan,Jeli,tertiary,IPTA,2017-01-01,0
Kelantan,Jeli,tertiary,IPTA,2018-01-01,0
Kelantan,Jeli,tertiary,IPTA,2019-01-01,0
Kelantan,Jeli,tertiary,IPTA,2020-01-01,0
Kelantan,Jeli,tertiary,IPTA,2021-01-01,0
Kelantan,Jeli,tertiary,IPTA,2022-01-01,0
Kelantan,Kecil Lojing,primary,Sekolah Rendah Kerajaan,2018-01-01,5
Kelantan,Kecil Lojing,primary,Sekolah Rendah Kerajaan,2019-01-01,5
Kelantan,Kecil Lojing,primary,Sekolah Rendah Kerajaan,2020-01-01,5
Kelantan,Kecil Lojing,primary,Sekolah Rendah Kerajaan,2021-01-01,5
Kelantan,Kecil Lojing,primary,Sekolah Rendah Kerajaan,2022-01-01,5
Kelantan,Kecil Lojing,tertiary,IPTA,2017-01-01,0
Kelantan,Kecil Lojing,tertiary,IPTA,2018-01-01,0
Kelantan,Kecil Lojing,tertiary,IPTA,2019-01-01,0
Kelantan,Kecil Lojing,tertiary,IPTA,2020-01-01,0
Kelantan,Kecil Lojing,tertiary,IPTA,2021-01-01,0
Kelantan,Kecil Lojing,tertiary,IPTA,2022-01-01,0
Kelantan,Kota Bharu,primary,Sekolah Rendah Kerajaan,2017-01-01,96
Kelantan,Kota Bharu,primary,Sekolah Rendah Kerajaan,2018-01-01,96
Kelantan,Kota Bharu,primary,Sekolah Rendah Kerajaan,2019-01-01,96
Kelantan,Kota Bharu,primary,Sekolah Rendah Kerajaan,2020-01-01,96
